Bangkok.png	Bangkok	กรุงเทพมหานคร	5,666,264	1,565	3,620.6	Bangkok	BKK	TH-10	TH40
Amnatcharoen.png	 Amnat Charoen	อำนาจเจริญ	378,438	3,161	119.7	Amnat Charoen	ACR	TH-37	TH77
Ang Thong.png	 Ang Thong	อ่างทอง	279,654	968	288.9	Ang Thong	ATG	TH-15	TH35
Bueng Kan.png	 Bueng Kan	บึงกาฬ	424,091	4,306	98.5	Bueng Kan	BKN	TH-38	TH81
Buriram.png	 Buriram	บุรีรัมย์	1,595,747	10,322	154.6	Buriram	BRM	TH-31	TH28
Chachoengsao.png	 Chachoengsao	ฉะเชิงเทรา	720,113	5,351	134.6	Chachoengsao	CCO	TH-24	TH44
Chainat.png	 Chai Nat	ชัยนาท	326,611	2,470	132.2	Chai Nat	CNT	TH-18	TH32
Chaiyaphum.png	 Chaiyaphum	ชัยภูมิ	1,137,357	12,778	89.0	Chaiyaphum	CPM	TH-36	TH26
Chanthaburi (1).svg	 Chanthaburi	จันทบุรี	537,698	6,338	84.8	Chanthaburi	CTI	TH-22	TH48
Chiang Mai.png	 Chiang Mai	เชียงใหม่	1,779,254	20,107	88.5	Chiang Mai	CMI	TH-50	TH02
Chiang Rai.png	 Chiang Rai	เชียงราย	1,298,304	11,678	111.2	Chiang Rai	CRI	TH-57	TH03
Chonburi.png	 Chonburi	ชลบุรี	1,558,301	4,363	357.2	Chonburi	CBI	TH-20	TH46
Chumphon.png	 Chumphon	ชุมพร	511,304	6,009	85.1	Chumphon	CPN	TH-86	TH58
Kalasin.png	 Kalasin	กาฬสินธุ์	983,418	6,947	141.6	Kalasin	KSN	TH-46	TH23
Kamphaeng Phet.png	 Kamphaeng Phet	กำแพงเพชร	727,807	8,607	84.6	Kamphaeng Phet	KPT	TH-62	TH11
Kanchanaburi.png	 Kanchanaburi	กาญจนบุรี	895,525	19,483	46.0	Kanchanaburi	KRI	TH-71	TH50
Khon Kaen.png	 Khon Kaen	ขอนแก่น	1,802,872	10,886	165.6	Khon Kaen	KKN	TH-40	TH22
Krabi.png	 Krabi	กระบี่	476,739	4,709	101.2	Krabi	KBI	TH-81	TH63
Lampang.png	 Lampang	ลำปาง	738,316	12,534	58.9	Lampang	LPG	TH-52	TH06
Lamphun.png	 Lamphun	ลำพูน	405,075	4,506	89.9	Lamphun	LPN	TH-51	TH05
Loei.png	 Loei	เลย	642,950	11,425	56.3	Loei	LEI	TH-42	TH18
Lopburi.png	 Lopburi	ลพบุรี	755,556	6,200	121.9	Lopburi	LRI	TH-16	TH34
Mae Hong Son.svg	 Mae Hong Son	แม่ฮ่องสอน	284,138	12,681	22.4	Mae Hong Son	MSN	TH-58	TH01
Maha Sarakham.png	 Maha Sarakham	มหาสารคาม	962,665	5,292	181.9	Maha Sarakham	MKM	TH-44	TH24
of Mukdahan Province.png	 Mukdahan	มุกดาหาร	353,174	4,340	81.4	Mukdahan	MDH	TH-49	TH78
Nakhon Nayok.png	 Nakhon Nayok	นครนายก	260,751	2,122	122.9	Nakhon Nayok	NYK	TH-26	TH43
Nakhon Pathom.svg	 Nakhon Pathom	นครปฐม	920,030	2,168	424.4	Nakhon Pathom	NPT	TH-73	TH53
Nakhon Phanom.png	 Nakhon Phanom	นครพนม	719,136	5,513	130.4	Nakhon Phanom	NPM	TH-48	TH73
Nakhon Ratchasima.png	 Nakhon Ratchasima	นครราชสีมา	2,648,927	20,494	129.3	Nakhon Ratchasima	NMA	TH-30	TH27
Nakhon Sawan.png	 Nakhon Sawan	นครสวรรค์	1,059,887	9,598	110.4	Nakhon Sawan	NSN	TH-60	TH16
Nakhon Si Thammarat.png	 Nakhon Si Thammarat	นครศรีธรรมราช	1,561,927	9,943	157.1	Nakhon Si Thammarat	NRT	TH-80	TH64
Nan.png	 Nan	น่าน	478,227	11,472	41.7	Nan	NAN	TH-55	TH04
Narathiwat.png	 Narathiwat	นราธิวาส	808,020	4,475	180.6	Narathiwat	NWT	TH-96	TH31
Nong Bua Lamphu.png	 Nong Bua Lamphu	หนองบัวลำภู	512,780	3,859	132.9	Nong Bua Lam Phu	NBP	TH-39	TH79
Nong Khai.png	 Nong Khai	หนองคาย	522,311	3,027	172.6	Nong Khai	NKI	TH-43	TH17
Nonthaburi Province Seal.svg	 Nonthaburi	นนทบุรี	1,265,387	622	2,034.4	Nonthaburi	NBI	TH-12	TH38
Pathum Thani.png	 Pathum Thani	ปทุมธานี	1,163,604	1,526	762.5	Pathum Thani	PTE	TH-13	TH39
Pattani.png	 Pattani	ปัตตานี	725,104	1,940	373.8	Pattani	PTN	TH-94	TH69
Phang Nga.png	 Phang Nga	พังงา	268,788	4,171	64.4	Phang Nga	PNA	TH-82	TH61
Provincial Seal of Phatthalung.svg	 Phatthalung	พัทลุง	524,865	3,424	153.3	Phatthalung	PLG	TH-93	TH66
Seal Phayao.png	 Phayao	พะเยา	472,356	6,335	74.6	Phayao	PYO	TH-56	TH41
Seal Phetchabun.png	 Phetchabun	เพชรบูรณ์	992,451	12,668	78.3	Phetchabun	PNB	TH-67	TH14
Seal Phetchaburi.png	 Phetchaburi	เพชรบุรี	485,191	6,225	77.9	Phetchaburi	PBI	TH-76	TH56
Seal Phichit.png	 Phichit	พิจิตร	536,311	4,531	118.4	Phichit	PCT	TH-66	TH13
Seal Phitsanulok.png	 Phitsanulok	พิษณุโลก	865,247	10,816	80.0	Phitsanulok	PLK	TH-65	TH12
Seal Ayutthaya.png	 Phra Nakhon Si Ayutthaya	พระนครศรีอยุธยา	820,188	2,557	320.8	Phra Nakhon Si Ayutthaya	AYA	TH-14	TH36
Phrae seal.svg	 Phrae	แพร่	441,726	6,539	67.6	Phrae	PRE	TH-54	TH07
Seal Phuket (blue).png	 Phuket	ภูเก็ต	416,582	543	767.2	Phuket	PKT	TH-83	TH62
Seal Prachinburi.png	 Prachinburi	ปราจีนบุรี	494,680	4,762	103.9	Prachinburi	PRI	TH-25	TH74
Seal Prachuap Khiri Khan.png	 Prachuap Khiri Khan	ประจวบคีรีขันธ์	554,116	6,368	87.0	Prachuap Khiri Khan	PKN	TH-77	TH57
Seal Ranong.png	 Ranong	ระนอง	193,370	3,298	58.6	Ranong	RNG	TH-85	TH59
Seal Ratchaburi.png	 Ratchaburi	ราชบุรี	873,101	5,196	168.0	Ratchaburi	RBR	TH-70	TH52
Seal Rayong.png	 Rayong	ระยอง	734,753	3,552	206.9	Rayong	RYG	TH-21	TH47
Seal Roi Et.png	 Roi Et	ร้อยเอ็ด	1,305,211	8,299	157.3	Roi Et	RET	TH-45	TH25
Old picture Seal Sakaeo.png	 Sa Kaeo	สระแก้ว	566,303	7,195	78.7	Sa Kaeo	SKW	TH-27	TH80
Seal Sakon Nakhon.png	 Sakon Nakhon	สกลนคร	1,153,390	9,606	120.1	Sakon Nakhon	SNK	TH-47	TH20
Samutphakhan.png	 Samut Prakan	สมุทรปราการ	1,344,875	1,004	1,339.5	Samut Prakan	SPK	TH-11	TH42
Seal Samut Sakhon.png	 Samut Sakhon	สมุทรสาคร	584,703	872	670.5	Samut Sakhon	SKN	TH-74	TH55
Seal Samut Songkhram.png	 Samut Songkhram	สมุทรสงคราม	193,305	417	463.6	Samut Songkhram	SKM	TH-75	TH54
Seal Saraburi.png	 Saraburi	สระบุรี	645,911	3,576	180.6	Saraburi	SRI	TH-19	TH37
Seal Satun.png	 Satun	สตูล	323,586	2,479	130.5	Satun	STN	TH-91	TH67
Seal Sing Buri.png	 Sing Buri	สิงห์บุรี	208,446	822	253.6	Sing Buri	SBR	TH-17	TH33
Seal Sisaket.png	 Sisaket	ศรีสะเกษ	1,472,859	8,840	166.6	Sisaket	SSK	TH-33	TH30
Seal Songkhla.png	 Songkhla	สงขลา	1,435,968	7,394	194.2	Songkhla	SKA	TH-90	TH68
Seal Sukhothai.png	 Sukhothai	สุโขทัย	595,072	6,596	90.2	Sukhothai (Sukhothai Thani)	STI	TH-64	TH09
Seal Suphanburi.png	 Suphan Buri	สุพรรณบุรี	846,334	5,358	158.0	Suphan Buri	SPB	TH-72	TH51
x	Surat Thani	สุราษฎร์ธานี	1,068,010	12,891	82.8	Surat Thani	SNI	TH-84	TH60
Seal Surin.png	 Surin	สุรินทร์	1,396,831	8,124	171.9	Surin	SRN	TH-32	TH29
Seal Tak.png	 Tak	ตาก	665,620	16,407	40.6	Tak	TAK	TH-63	TH08
Seal Trang.png	 Trang	ตรัง	643,164	4,918	130.8	Trang	TRG	TH-92	TH65
Seal Trat.png	 Trat	ตราด	229,958	2,819	81.6	Trat	TRT	TH-23	TH49
Seal Ubon Ratchathani.png	 Ubon Ratchathani	อุบลราชธานี	1,878,146	15,745	119.3	Ubon Ratchathani	UBN	TH-34	TH75
Seal Udon Thani.png	 Udon Thani	อุดรธานี	1,586,646	11,730	135.3	Udon Thani	UDN	TH-41	TH76
Seal Uthaithani.png	 Uthai Thani	อุทัยธานี	328,618	6,730	48.8	Uthai Thani	UTI	TH-61	TH15
Seal Uttaradit.png	 Uttaradit	อุตรดิตถ์	453,103	7,839	57.8	Uttaradit	UTD	TH-53	TH10
Seal Yala.png	 Yala	ยะลา	536,330	4,521	118.6	Yala	YLA	TH-95	TH70
x	Yasothon	ยโสธร	537,299	4,162	129.1	Yasothon	YST	TH-35	TH72